ICAO,IATA,Name,City,Province,Country,Lat,Lon,Elev,OffUTC,OffDST,TZone
KZ,3RC,ROSCOMMON CONSERVATION,,MICHIGAN,USA,44.475017,-84.566689,1156,-5,-4,America/Detroit
KZ,3S4,ILLINOIS VALLEY,,OREGON,USA,42.103725,-123.682292,1394,-8,-7,America/Los_Angeles
KZ,3S8,GRANTS PASS,,OREGON,USA,42.510117,-123.387989,1126,-8,-7,America/Los_Angeles
KZ,3S9,CONDON STATE PAULING FLD,,OREGON,USA,45.246519,-120.166422,2902,-8,-7,America/Los_Angeles
KZ,3SC4,CROOKED FENCE FARM,,SOUTH CAROLINA,USA,34.773611,-81.986389,645,-5,-4,America/Kentucky/Monticello
KZ,3SQ,ST CHARLES,,MISSOURI,USA,38.848661,-90.500119,442,-6,-5,America/Indiana/Tell_City
KZ,3T1,WOOD CO,,TEXAS,USA,32.742203,-95.496475,434,-6,-5,America/Indiana/Tell_City
KZ,3T3,BOYCEVILLE MUNICIPAL,,WISCONSIN,USA,45.044031,-92.020369,967,-6,-5,America/Menominee
KZ,3T5,FAYETTE RGNL AIR CNTR,,TEXAS,USA,29.907972,-96.950014,324,-6,-5,America/Indiana/Tell_City
KZ,3TA0,FOUR SQUARE RANCH,,TEXAS,USA,30.096869,-100.404531,2250,-6,-5,America/Indiana/Tell_City
KZ,3TA5,CTS STACY,,TEXAS,USA,30.133539,-98.383631,1460,-6,-5,America/Indiana/Tell_City
KZ,3TA6,SPRING RANCH,,TEXAS,USA,29.541894,-100.253131,1440,-6,-5,America/Indiana/Tell_City
KZ,3TE3,BIG BEND RANCH STATE PARK,,TEXAS,USA,29.469633,-103.936583,4250,-6,-5,America/Indiana/Tell_City
KZ,3TR,JERRY TYLER MEM,,MICHIGAN,USA,41.835908,-86.225175,750,-5,-4,America/Indiana/Winamac
KZ,3TS1,WHITE WINGS,,TEXAS,USA,30.011369,-98.040503,1083,-6,-5,America/Indiana/Tell_City
KZ,3U3,BOWMAN FLD,,MONTANA,USA,46.153133,-112.867839,5030,-7,-6,America/Boise
KZ,3U4,ST LABRE MISSION,,MONTANA,USA,45.599997,-106.267219,2909,-7,-6,America/Denver
KZ,3U7,BENCHMARK,,MONTANA,USA,47.481333,-112.869767,5434,-7,-6,America/Boise
